Port:              P008
Site:              Portsmouth
Latitude:          50.80256
Longitude:         -1.11175
Start Date:        01JAN2021-00.00.00
End Date:          31JAN2021-23.45.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVBG02 = Surface elevation (unspecified datum) of the water body by bubbler tide gauge (second sensor)
  Cycle    Date      Time    ASLVBG02   Residual  
 Number yyyy mm dd hh mi ssf         f          f 
   184) 2021/01/02 21:45:00     2.123      0.006  
   185) 2021/01/02 22:00:00     2.202      0.001  
   186) 2021/01/02 22:15:00     2.321      0.011  
   187) 2021/01/02 22:30:00     2.477      0.028  
   188) 2021/01/02 22:45:00     2.658      0.038  
   189) 2021/01/02 23:00:00     2.856      0.037  
   190) 2021/01/02 23:15:00     3.065      0.031  
   191) 2021/01/02 23:30:00     3.280      0.025  
   192) 2021/01/02 23:45:00     3.501      0.030  
   193) 2021/01/03 00:00:00     3.722      0.045  
   194) 2021/01/03 00:15:00     3.930      0.060  
   195) 2021/01/03 00:30:00     4.118      0.072  
   196) 2021/01/03 00:45:00     4.260      0.056  
   197) 2021/01/03 01:00:00     4.374      0.037  
   198) 2021/01/03 01:15:00     4.457      0.018  
   199) 2021/01/03 01:30:00     4.513      0.011  
   200) 2021/01/03 01:45:00     4.530      0.002  
   201) 2021/01/03 02:00:00     4.511     -0.009  
   202) 2021/01/03 02:15:00     4.454     -0.037  
   203) 2021/01/03 02:30:00     4.391     -0.060  
   204) 2021/01/03 02:45:00     4.342     -0.068  
   205) 2021/01/03 03:00:00     4.314     -0.056  
   206) 2021/01/03 03:15:00     4.301     -0.022  
   207) 2021/01/03 03:30:00     4.265      0.007  
   208) 2021/01/03 03:45:00     4.175      0.016  
   209) 2021/01/03 04:00:00     4.007     -0.011  
   210) 2021/01/03 04:15:00     3.778     -0.051  
   211) 2021/01/03 04:30:00     3.512     -0.083  
   212) 2021/01/03 04:45:00     3.221     -0.105  
   213) 2021/01/03 05:00:00     2.916     -0.117  
   214) 2021/01/03 05:15:00     2.597     -0.130  
   215) 2021/01/03 05:30:00     2.268     -0.150  
   216) 2021/01/03 05:45:00     1.944     -0.176  
   217) 2021/01/03 06:00:00     1.645     -0.199  
   218) 2021/01/03 06:15:00     1.392     -0.213  
   219) 2021/01/03 06:30:00     1.203     -0.214  
   220) 2021/01/03 06:45:00     1.099     -0.192  
   221) 2021/01/03 07:00:00     1.090     -0.142  
   222) 2021/01/03 07:15:00     1.143     -0.095  
   223) 2021/01/03 07:30:00     1.232     -0.065  
   224) 2021/01/03 07:45:00     1.344     -0.050  
   225) 2021/01/03 08:00:00     1.477     -0.038  
   226) 2021/01/03 08:15:00     1.619     -0.024  
   227) 2021/01/03 08:30:00     1.760     -0.010  
   228) 2021/01/03 08:45:00     1.881     -0.007  
   229) 2021/01/03 09:00:00     1.984     -0.010  
   230) 2021/01/03 09:15:00     2.058     -0.029  
   231) 2021/01/03 09:30:00     2.109     -0.059  
   232) 2021/01/03 09:45:00     2.144     -0.096  
   233) 2021/01/03 10:00:00     2.176     -0.136  
   234) 2021/01/03 10:15:00     2.238     -0.154  
   235) 2021/01/03 10:30:00     2.334     -0.157  
