Port:              P008
Site:              Portsmouth
Latitude:          50.80256
Longitude:         -1.11175
Start Date:        01MAY2021-00.00.00
End Date:          31MAY2021-23.45.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVBG02 = Surface elevation (unspecified datum) of the water body by bubbler tide gauge (second sensor)
  Cycle    Date      Time    ASLVBG02   Residual  
 Number yyyy mm dd hh mi ssf         f          f 
   201) 2021/05/03 02:00:00     3.611      0.005  
   202) 2021/05/03 02:15:00     3.778      0.009  
   203) 2021/05/03 02:30:00     3.923      0.012  
   204) 2021/05/03 02:45:00     4.053      0.027  
   205) 2021/05/03 03:00:00     4.154      0.049  
   206) 2021/05/03 03:15:00     4.221      0.071  
   207) 2021/05/03 03:30:00     4.261      0.098  
   208) 2021/05/03 03:45:00     4.255      0.100  
   209) 2021/05/03 04:00:00     4.224      0.089  
   210) 2021/05/03 04:15:00     4.175      0.066  
   211) 2021/05/03 04:30:00     4.124      0.042  
   212) 2021/05/03 04:45:00     4.082      0.034  
   213) 2021/05/03 05:00:00     4.038      0.037  
   214) 2021/05/03 05:15:00     3.993      0.062  
   215) 2021/05/03 05:30:00     3.911      0.078  
   216) 2021/05/03 05:45:00     3.795      0.090  
   217) 2021/05/03 06:00:00     3.635      0.086  
   218) 2021/05/03 06:15:00     3.446      0.078  
   219) 2021/05/03 06:30:00     3.234      0.068  
   220) 2021/05/03 06:45:00     3.009      0.063  
   221) 2021/05/03 07:00:00     2.772      0.060  
   222) 2021/05/03 07:15:00     2.521      0.054  
   223) 2021/05/03 07:30:00     2.277      0.057  
   224) 2021/05/03 07:45:00     2.042      0.059  
   225) 2021/05/03 08:00:00     1.830      0.060  
   226) 2021/05/03 08:15:00     1.652      0.056  
   227) 2021/05/03 08:30:00     1.524      0.056  
   228) 2021/05/03 08:45:00     1.442      0.050  
   229) 2021/05/03 09:00:00     1.416      0.052  
   230) 2021/05/03 09:15:00     1.437      0.061  
   231) 2021/05/03 09:30:00     1.485      0.069  
   232) 2021/05/03 09:45:00     1.548      0.073  
   233) 2021/05/03 10:00:00     1.619      0.074  
   234) 2021/05/03 10:15:00     1.691      0.071  
   235) 2021/05/03 10:30:00     1.768      0.073  
   236) 2021/05/03 10:45:00     1.848      0.081  
   237) 2021/05/03 11:00:00     1.922      0.088  
   238) 2021/05/03 11:15:00     1.988      0.094  
   239) 2021/05/03 11:30:00     2.046      0.098  
   240) 2021/05/03 11:45:00     2.103      0.103  
   241) 2021/05/03 12:00:00     2.161      0.105  
   242) 2021/05/03 12:15:00     2.231      0.109  
   243) 2021/05/03 12:30:00     2.322      0.117  
   244) 2021/05/03 12:45:00     2.431      0.124  
   245) 2021/05/03 13:00:00     2.556      0.126  
   246) 2021/05/03 13:15:00     2.694      0.124  
   247) 2021/05/03 13:30:00     2.856      0.130  
   248) 2021/05/03 13:45:00     3.019      0.125  
   249) 2021/05/03 14:00:00     3.190      0.120  
   250) 2021/05/03 14:15:00     3.364      0.114  
   251) 2021/05/03 14:30:00     3.538      0.110  
   252) 2021/05/03 14:45:00     3.714      0.118  
   253) 2021/05/03 15:00:00     3.882      0.136  
   254) 2021/05/03 15:15:00     4.029      0.159  
   255) 2021/05/03 15:30:00     4.162      0.198  
   256) 2021/05/03 15:45:00     4.274      0.246  
   257) 2021/05/03 16:00:00     4.355      0.288  
   258) 2021/05/03 16:15:00     4.406      0.317  
   259) 2021/05/03 16:30:00     4.423      0.322  
   260) 2021/05/03 16:45:00     4.413      0.306  
   261) 2021/05/03 17:00:00     4.391      0.284  
   262) 2021/05/03 17:15:00     4.374      0.280  
   263) 2021/05/03 17:30:00     4.356      0.292  
   264) 2021/05/03 17:45:00     4.320      0.310  
   265) 2021/05/03 18:00:00     4.258      0.328  
   266) 2021/05/03 18:15:00     4.162      0.338  
   267) 2021/05/03 18:30:00     4.044      0.349  
   268) 2021/05/03 18:45:00     3.903      0.357  
   269) 2021/05/03 19:00:00     3.753      0.377  
   270) 2021/05/03 19:15:00     3.581      0.392  
   271) 2021/05/03 19:30:00     3.387      0.402  
   272) 2021/05/03 19:45:00     3.194      0.426  
   273) 2021/05/03 20:00:00     3.013      0.466  
   274) 2021/05/03 20:15:00     2.829      0.496  
   275) 2021/05/03 20:30:00     2.664      0.524  
   276) 2021/05/03 20:45:00     2.534      0.555  
   277) 2021/05/03 21:00:00     2.438      0.579  
   278) 2021/05/03 21:15:00     2.366      0.586  
   279) 2021/05/03 21:30:00     2.321      0.580  
   280) 2021/05/03 21:45:00     2.298      0.565  
   281) 2021/05/03 22:00:00     2.280      0.529  
   282) 2021/05/03 22:15:00     2.282      0.496  
   283) 2021/05/03 22:30:00     2.287      0.454  
   284) 2021/05/03 22:45:00     2.309      0.421  
   285) 2021/05/03 23:00:00     2.337      0.390  
   286) 2021/05/03 23:15:00     2.368      0.363  
   287) 2021/05/03 23:30:00     2.385      0.326  
   288) 2021/05/03 23:45:00     2.390      0.282  
   289) 2021/05/04 00:00:00     2.408      0.256  
   290) 2021/05/04 00:15:00     2.438      0.244  
   291) 2021/05/04 00:30:00     2.491      0.252  
   292) 2021/05/04 00:45:00     2.549      0.256  
   293) 2021/05/04 01:00:00     2.633      0.271  
   294) 2021/05/04 01:15:00     2.744      0.298  
   295) 2021/05/04 01:30:00     2.853      0.306  
   296) 2021/05/04 01:45:00     2.973      0.309  
   297) 2021/05/04 02:00:00     3.092      0.298  
   298) 2021/05/04 02:15:00     3.212      0.277  
   299) 2021/05/04 02:30:00     3.329      0.246  
   300) 2021/05/04 02:45:00     3.444      0.210  
   301) 2021/05/04 03:00:00     3.554      0.172  
   302) 2021/05/04 03:15:00     3.650      0.131  
   303) 2021/05/04 03:30:00     3.732      0.095  
   304) 2021/05/04 03:45:00     3.791      0.062  
   305) 2021/05/04 04:00:00     3.821      0.026  
   306) 2021/05/04 04:15:00     3.841      0.006  
   307) 2021/05/04 04:30:00     3.833     -0.023  
   308) 2021/05/04 04:45:00     3.779     -0.085  
   309) 2021/05/04 05:00:00     3.699     -0.165  
   310) 2021/05/04 05:15:00     3.609     -0.249  
   311) 2021/05/04 05:30:00     3.543     -0.301  
   312) 2021/05/04 05:45:00     3.484     -0.334  
   313) 2021/05/04 06:00:00     3.453     -0.323  
   314) 2021/05/04 06:15:00     3.427     -0.288  
   315) 2021/05/04 06:30:00     3.387     -0.249  
   316) 2021/05/04 06:45:00     3.312     -0.226  
   317) 2021/05/04 07:00:00     3.215     -0.209  
   318) 2021/05/04 07:15:00     3.110     -0.184  
   319) 2021/05/04 07:30:00     2.995     -0.152  
   320) 2021/05/04 07:45:00     2.864     -0.119  
   321) 2021/05/04 08:00:00     2.727     -0.074  
   322) 2021/05/04 08:15:00     2.598     -0.009  
   323) 2021/05/04 08:30:00     2.469      0.062  
   324) 2021/05/04 08:45:00     2.332      0.119  
   325) 2021/05/04 09:00:00     2.204      0.167  
   326) 2021/05/04 09:15:00     2.087      0.198  
   327) 2021/05/04 09:30:00     1.980      0.205  
   328) 2021/05/04 09:45:00     1.899      0.203  
   329) 2021/05/04 10:00:00     1.850      0.200  
   330) 2021/05/04 10:15:00     1.835      0.202  
   331) 2021/05/04 10:30:00     1.830      0.191  
   332) 2021/05/04 10:45:00     1.838      0.174  
   333) 2021/05/04 11:00:00     1.848      0.144  
   334) 2021/05/04 11:15:00     1.859      0.105  
   335) 2021/05/04 11:30:00     1.869      0.059  
   336) 2021/05/04 11:45:00     1.897      0.030  
   337) 2021/05/04 12:00:00     1.939      0.018  
   338) 2021/05/04 12:15:00     1.994      0.024  
   339) 2021/05/04 12:30:00     2.070      0.057  
   340) 2021/05/04 12:45:00     2.143      0.089  
   341) 2021/05/04 13:00:00     2.211      0.113  
   342) 2021/05/04 13:15:00     2.287      0.138  
   343) 2021/05/04 13:30:00     2.362      0.150  
   344) 2021/05/04 13:45:00     2.448      0.157  
   345) 2021/05/04 14:00:00     2.552      0.165  
   346) 2021/05/04 14:15:00     2.675      0.177  
   347) 2021/05/04 14:30:00     2.813      0.187  
   348) 2021/05/04 14:45:00     2.963      0.196  
   349) 2021/05/04 15:00:00     3.117      0.198  
   350) 2021/05/04 15:15:00     3.277      0.199  
   351) 2021/05/04 15:30:00     3.449      0.213  
   352) 2021/05/04 15:45:00     3.621      0.235  
   353) 2021/05/04 16:00:00     3.796      0.275  
   354) 2021/05/04 16:15:00     3.964      0.328  
   355) 2021/05/04 16:30:00     4.127      0.398  
   356) 2021/05/04 16:45:00     4.262      0.459  
   357) 2021/05/04 17:00:00     4.352      0.491  
   358) 2021/05/04 17:15:00     4.408      0.502  
   359) 2021/05/04 17:30:00     4.415      0.473  
   360) 2021/05/04 17:45:00     4.397      0.429  
   361) 2021/05/04 18:00:00     4.378      0.396  
   362) 2021/05/04 18:15:00     4.347      0.365  
   363) 2021/05/04 18:30:00     4.313      0.350  
   364) 2021/05/04 18:45:00     4.275      0.349  
   365) 2021/05/04 19:00:00     4.208      0.337  
   366) 2021/05/04 19:15:00     4.131      0.331  
   367) 2021/05/04 19:30:00     4.043      0.330  
   368) 2021/05/04 19:45:00     3.953      0.345  
   369) 2021/05/04 20:00:00     3.835      0.351  
   370) 2021/05/04 20:15:00     3.711      0.373  
   371) 2021/05/04 20:30:00     3.573      0.401  
   372) 2021/05/04 20:45:00     3.420      0.431  
   373) 2021/05/04 21:00:00     3.246      0.448  
   374) 2021/05/04 21:15:00     3.063      0.455  
   375) 2021/05/04 21:30:00     2.882      0.452  
   376) 2021/05/04 21:45:00     2.700      0.427  
   377) 2021/05/04 22:00:00     2.531      0.387  
   378) 2021/05/04 22:15:00     2.396      0.353  
   379) 2021/05/04 22:30:00     2.299      0.329  
   380) 2021/05/04 22:45:00     2.233      0.309  
   381) 2021/05/04 23:00:00     2.203      0.302  
   382) 2021/05/04 23:15:00     2.203      0.304  
   383) 2021/05/04 23:30:00     2.211      0.297  
   384) 2021/05/04 23:45:00     2.233      0.289  
   385) 2021/05/05 00:00:00     2.271      0.289  
   386) 2021/05/05 00:15:00     2.316      0.293  
   387) 2021/05/05 00:30:00     2.367      0.303  
   388) 2021/05/05 00:45:00     2.418      0.318  
   389) 2021/05/05 01:00:00     2.460      0.328  
   390) 2021/05/05 01:15:00     2.495      0.333  
   391) 2021/05/05 01:30:00     2.519      0.326  
   392) 2021/05/05 01:45:00     2.544      0.312  
   393) 2021/05/05 02:00:00     2.580      0.300  
   394) 2021/05/05 02:15:00     2.633      0.292  
   395) 2021/05/05 02:30:00     2.709      0.292  
   396) 2021/05/05 02:45:00     2.803      0.297  
   397) 2021/05/05 03:00:00     2.914      0.304  
   398) 2021/05/05 03:15:00     3.027      0.301  
   399) 2021/05/05 03:30:00     3.142      0.290  
   400) 2021/05/05 03:45:00     3.249      0.265  
   401) 2021/05/05 04:00:00     3.365      0.250  
   402) 2021/05/05 04:15:00     3.485      0.246  
   403) 2021/05/05 04:30:00     3.616      0.265  
   404) 2021/05/05 04:45:00     3.738      0.292  
   405) 2021/05/05 05:00:00     3.850      0.327  
   406) 2021/05/05 05:15:00     3.931      0.346  
   407) 2021/05/05 05:30:00     3.982      0.349  
   408) 2021/05/05 05:45:00     4.008      0.338  
   409) 2021/05/05 06:00:00     4.025      0.326  
   410) 2021/05/05 06:15:00     4.032      0.315  
   411) 2021/05/05 06:30:00     4.030      0.306  
   412) 2021/05/05 06:45:00     4.013      0.296  
   413) 2021/05/05 07:00:00     3.981      0.285  
   414) 2021/05/05 07:15:00     3.934      0.272  
   415) 2021/05/05 07:30:00     3.883      0.269  
   416) 2021/05/05 07:45:00     3.821      0.267  
   417) 2021/05/05 08:00:00     3.751      0.270  
   418) 2021/05/05 08:15:00     3.659      0.267  
   419) 2021/05/05 08:30:00     3.550      0.265  
   420) 2021/05/05 08:45:00     3.414      0.258  
